cohort,survey_weight,weighted_prevalence,roc_auc,pr_auc,brier,log_loss,accuracy,precision,sensitivity,specificity,f1,ece
2017-2018 development OOF,WTMEC2YR,0.1361,0.7852,0.4017,0.0978,0.3286,0.7264,0.2963,0.7342,0.7252,0.4222,
2021-2023 temporal,WTPH2YR,0.1406,0.7938,0.4378,0.0989,0.3309,0.7201,0.3019,0.7549,0.7144,0.4313,0.0128
