diabetes_dx,n,cases,global_threshold,global_sensitivity,global_specificity,stratified_threshold,stratified_sensitivity,stratified_specificity
no,4618,587,0.12389798647401944,0.7240204429301533,0.6755147606053089,0.08235557872651318,0.8040885860306644,0.541304887124783
yes,743,317,0.12389798647401944,1.0,0.0,0.322935792329243,0.804416403785489,0.41784037558685444
