cohort,roc_auc,pr_auc,brier,log_loss,accuracy,precision,sensitivity,specificity,f1
2017-2018 internal OOF,0.7863938874651512,0.48328321265731744,0.12240394192023002,0.3931679605336045,0.6646257159786688,0.3323022536456032,0.8008519701810437,0.63360814742968,0.4697064334790756
2021-2023 temporal validation,0.7949216241663989,0.48303932064201105,0.11418077245298676,0.3714978471833829,0.6415706051873199,0.3003452243958573,0.8250790305584826,0.6037366934607864,0.4403824521934758
