calibration,roc_auc,pr_auc,brier,log_loss,calibration_intercept,calibration_slope,ece
Sigmoid,0.7863938874651512,0.48328321265731744,0.12240394192023002,0.3931679605336045,0.026091361990565002,1.0255817396047684,0.013245721357278332
Isotonic,0.7865922122405637,0.48160046483596286,0.12244203509402679,0.39958992798415743,-0.07547212768593524,0.93818035150103,0.012908768928082666
Raw,0.7855293153973365,0.48127556533560417,0.12270152585682503,0.394341262203937,0.11760973270985645,1.0969944335088442,0.013791180031973802
