outcome,prevalence,roc_auc,pr_auc,brier
low_egfr,0.08177233429394813,0.8501381728690357,0.3201564249497674,0.07509993364835557
albuminuria,0.1149135446685879,0.7440592613006406,0.3138154114092455,0.09846994940364318
ckd,0.1709293948126801,0.7949216241663989,0.48303932064201105,0.11418077245298676
