comparison,roc_auc_mean_diff,roc_auc_sd_diff,roc_auc_paired_t_p,roc_auc_wilcoxon_p,pr_auc_mean_diff,pr_auc_sd_diff,pr_auc_paired_t_p,pr_auc_wilcoxon_p,brier_mean_diff,brier_sd_diff,brier_paired_t_p,brier_wilcoxon_p,log_loss_mean_diff,log_loss_sd_diff,log_loss_paired_t_p,log_loss_wilcoxon_p
HistGradientBoosting vs Logistic Regression,0.0010492595504470793,0.005220999240579242,0.6764310452127286,0.8125,-0.0024156894028657507,0.02444819262007144,0.8359570064453117,0.8125,-0.012666094923345783,0.0283190613893088,0.37385264002016944,0.4375,-0.03334989220236212,0.072444294778686,0.3614724144397361,0.4375
HistGradientBoosting vs Random Forest,-0.006003308022869902,0.0068111896022641045,0.12005314651364596,0.3125,-0.006338217983431893,0.02405111469797428,0.5873506301861171,0.8125,-0.006001305224640499,0.01481321365015252,0.4162214496283904,0.8125,-0.014224978424776324,0.03622971065092911,0.4295406649862745,1.0
HistGradientBoosting vs XGBoost,-0.005224564711546131,0.0036363578877098997,0.03250569408998118,0.125,-0.013376348012661821,0.004236602685211989,0.0021230848282112386,0.0625,-0.008240039271778226,0.02167085686560337,0.44309393335658465,0.8125,-0.0200360872598224,0.053559227397151646,0.4499376246855858,0.8125
HistGradientBoosting vs LightGBM,0.0001934930314047234,0.0032645786123951864,0.9009625092536149,1.0,-0.00047240413336845365,0.007968204009159855,0.900936461356517,1.0,-0.03347585923891626,0.03139574579968409,0.07564154129659141,0.3125,-0.08504328672195097,0.0796634007956844,0.07540695554976956,0.1875
