threshold,model,treat_all,treat_none
0.03,0.11242880699372466,0.11242880699372469,0.0
0.034999999999999996,0.10782999252218955,0.10782999252218958,0.0
0.04,0.10326814525448433,0.10318327373324265,0.0
0.045,0.09867561739815117,0.0984878982030502,0.0
0.05,0.09542783187232626,0.09374309766727679,0.0
0.055,0.09279531486824082,0.08894808760202429,0.0
0.06,0.09103464817670963,0.08410206679139676,0.0
0.065,0.0894002558519009,0.07920421688119034,0.0
0.07,0.08827515895524331,0.07425370191818596,0.0
0.075,0.0866398188771037,0.06924966787450049,0.0
0.08,0.08389566905605979,0.06419124215642713,0.0
0.08499999999999999,0.08221308532800534,0.05907753309717263,0.0
0.09,0.07965156118492203,0.053907629432871376,0.0
0.095,0.07853120103939612,0.04868059976122978,0.0
0.1,0.07631436762759791,0.0433954919821255,0.0
0.105,0.07503421517555012,0.03805133271945582,0.0
0.11,0.07381063343879568,0.032647126723497705,0.0
0.115,0.0727845189222646,0.027181856253008993,0.0
0.12,0.07117548585172202,0.021654480436264723,0.0
0.125,0.06971889895483036,0.016063934610186237,0.0
0.13,0.06884091630266703,0.010409129636681558,0.0
0.135,0.0668866895294265,0.004688951195275071,0.0
0.14,0.06618499069532541,-0.0010977409489384415,0.0
0.14500000000000002,0.06425061659495972,-0.006952113703025814,0.0
0.15,0.06394461853500978,-0.012875361430690652,0.0
0.155,0.06285966532567744,-0.018868706764600035,0.0
0.16,0.06186601348025331,-0.024933401447722686,0.0
0.165,0.06073459940030897,-0.031070727204894677,0.0
0.17,0.05912801214945777,-0.03728199664588802,0.0
0.175,0.057977614285104576,-0.04356855420131761,0.0
0.18,0.05648485337849883,-0.049931777092789065,0.0
0.185,0.05474170289562267,-0.0563730763387571,0.0
0.19,0.0542159298394082,-0.06289389779763832,0.0
0.195,0.05382200789667611,-0.06949572324979761,0.0
0.2,0.052064517085899605,-0.0761800715201088,0.0
0.20500000000000002,0.05049478360245004,-0.08294849964287682,0.0
0.21,0.049503094046711646,-0.08980260407099624,0.0
0.215,0.048460584079398704,-0.09674402193132106,0.0
0.22,0.04729467246199162,-0.10377443232831671,0.0
0.225,0.045946853365480676,-0.11089555769817683,0.0
0.23,0.045160409738683606,-0.11810916521569745,0.0
0.23500000000000001,0.04349869903130009,-0.12541706825632296,0.0
0.24,0.04245686208273828,-0.13282112791590397,0.0
0.245,0.04154745856952828,-0.14032325459084374,0.0
0.25,0.04032289613044083,-0.14792540962144937,0.0
0.255,0.03880503990859292,-0.15562960700145914,0.0
0.26,0.03809271940908639,-0.16343791515687436,0.0
0.265,0.03728548884826039,-0.17135245879739738,0.0
0.27,0.03715767179916557,-0.17937542084395489,0.0
0.275,0.03601135989539892,-0.18750904443598218,0.0
0.28,0.035620157966860876,-0.19575563502234314,0.0
0.28500000000000003,0.03460904958385598,-0.2041175625399819,0.0
0.29000000000000004,0.03374630490683625,-0.2125972636846297,0.0
0.29500000000000004,0.032772787403577884,-0.22119724427813767,0.0
0.30000000000000004,0.0318561824401761,-0.22992008173726733,0.0
0.30500000000000005,0.030357752984920966,-0.23876842764904618,0.0
0.31000000000000005,0.0304547715680967,-0.24774501045809724,0.0
0.31500000000000006,0.030373275857805054,-0.25685263827166005,0.0
0.31999999999999995,0.02965705241619547,-0.2660942017883632,0.0
0.32499999999999996,0.028860167147831108,-0.27547267735716596,0.0
0.32999999999999996,0.028704746553693324,-0.28499113017326416,0.0
0.33499999999999996,0.027844647714185638,-0.2946527176181759,0.0
0.33999999999999997,0.027559031730258938,-0.304460692751647,0.0
0.345,0.026581188916143982,-0.31441840796349163,0.0
0.35,0.026055378512180375,-0.32452931879397995,0.0
0.355,0.025273689115993005,-0.3347969879319178,0.0
0.36,0.02327300219804057,-0.34522508940013596,0.0
0.365,0.023319265822886768,-0.3558174129387197,0.0
0.37,0.02283481176261332,-0.3665778685969635,0.0
0.375,0.02201427100968773,-0.37751049154573924,0.0
0.38,0.021408719651050567,-0.388619447122721,0.0
0.385,0.020387675178952364,-0.39990903612371875,0.0
0.39,0.019228650698614725,-0.4113837003542411,0.0
0.395,0.019044755266768857,-0.42304802845634226,0.0
0.4,0.018299920826292875,-0.4349067620268118,0.0
