threshold,model,treat_all,treat_none
0.03,0.16027130322880165,0.16027130322880162,0.0
0.034999999999999996,0.15592037733879544,0.15592037733879544,0.0
0.04,0.15142537362565014,0.15152412930410164,0.0
0.045,0.14655342682204225,0.14708184725857337,0.0
0.05,0.1423537116542096,0.14259280434940796,0.0
0.055,0.1394712338816625,0.1380562583406747,0.0
0.06,0.13586259933350425,0.1334714512041889,0.0
0.065,0.13209179313906808,0.12883760869725946,0.0
0.07,0.12907048606907798,0.12415393992681459,0.0
0.075,0.126898377737801,0.11941963689939199,0.0
0.08,0.12509338852201393,0.1146338740564539,0.0
0.08499999999999999,0.12290387025122795,0.10979580779446732,0.0
0.09,0.1210419049644805,0.10490457596916218,0.0
0.095,0.11960021955406083,0.09995929738335643,0.0
0.1,0.11795817148374921,0.09495907125770842,0.0
0.105,0.11441203958613094,0.08990297668372915,0.0
0.11,0.11163386276733384,0.08479007205835684,0.0
0.115,0.10953399594487982,0.0796193944993645,0.0
0.12,0.10819133463810535,0.07438995924083816,0.0
0.125,0.10552749640247171,0.06910075900792866,0.0
0.13,0.10403626944181474,0.06375076337004319,0.0
0.135,0.10199691973617964,0.05833891807160413,0.0
0.14,0.10032658273199546,0.052864144339462266,0.0
0.14500000000000002,0.09921884835863441,0.04732533816600884,0.0
0.15,0.0965714352104658,0.04172136956698538,0.0
0.155,0.09475519694453438,0.036051081812943864,0.0
0.16,0.09234126200351757,0.030313290633258994,0.0
0.165,0.09041171064941023,0.024506783391541997,0.0
0.17,0.08868021959455441,0.01863031823125008,0.0
0.175,0.08731797532903596,0.012682623190227366,0.0
0.18,0.08598488315517169,0.0066623952828507305,0.0
0.185,0.08367695866438701,0.0005682995483896613,0.0
0.19,0.08252073259644528,-0.005601031935879547,0.0
0.195,0.08078337175195027,-0.011847001078338443,0.0
0.2,0.07905392060043454,-0.018171044835078032,0.0
0.20500000000000002,0.07810021403274713,-0.024574636312028247,0.0
0.21,0.07664690719716385,-0.03105928590893975,0.0
0.215,0.07469955000119513,-0.037626542507085886,0.0
0.22,0.0737882171814623,-0.044277994702644125,0.0
0.225,0.07213624460825853,-0.05101527208782247,0.0
0.23,0.07069367527593876,-0.05784004658189926,0.0
0.23500000000000001,0.06875718883247553,-0.06475403381446071,0.0
0.24,0.06724741935819203,-0.07175899456324003,0.0
0.245,0.06722187850304703,-0.07885673624908929,0.0
0.25,0.06610046744354467,-0.08604911449074992,0.0
0.255,0.06425879555188518,-0.09333803472223146,0.0
0.26,0.062376221767886784,-0.10072545387576004,0.0
0.265,0.0604089156895229,-0.1082133821334183,0.0
0.27,0.059212822545515534,-0.11580388475077047,0.0
0.275,0.05791169199125501,-0.12349908395594822,0.0
0.28,0.05624684530471612,-0.13130116092786454,0.0
0.28500000000000003,0.05481147333803861,-0.13921235785743002,0.0
0.29000000000000004,0.05226818147677294,-0.14723498009586267,0.0
0.29500000000000004,0.05082205347374849,-0.15537139839441488,0.0
0.30000000000000004,0.04980107784769051,-0.16362405124008927,0.0
0.30500000000000005,0.04854090261269158,-0.17199544729217625,0.0
0.31000000000000005,0.046429481289377024,-0.18048816792472827,0.0
0.31500000000000006,0.046056188376817055,-0.18910486988038322,0.0
0.31999999999999995,0.04461433002985909,-0.1978482880412682,0.0
0.32499999999999996,0.04231863702533268,-0.2067212383230554,0.0
0.32999999999999996,0.04124155049363101,-0.21572662069860055,0.0
0.33499999999999996,0.04081356858470491,-0.22486742235798857,0.0
0.33999999999999997,0.0400349535249792,-0.23414672101221573,0.0
0.345,0.03888259834482468,-0.24356768834818687,0.0
0.35,0.0377702487123779,-0.2531335936431729,0.0
0.355,0.037176536875676555,-0.26284780754738357,0.0
0.36,0.036354434129962476,-0.2727138060438475,0.0
0.365,0.03654115623459372,-0.28273517459537384,0.0
0.37,0.03597528286447899,-0.29291561248898795,0.0
0.375,0.034841003357693065,-0.3032589373888999,0.0
0.38,0.03529719087879811,-0.31376909010977816,0.0
0.385,0.0343171968160527,-0.3244501396228658,0.0
0.39,0.03289697354319185,-0.33530628830829917,0.0
0.395,0.03209314700884556,-0.3463418774678719,0.0
0.4,0.03061426031996839,-0.35756139311343743,0.0
