feature_set,roc_auc,pr_auc,brier,log_loss
Primary,0.7800441375919447,0.4750062199450734,0.12380242923451339,0.3983059008254351
Primary_plus_race,0.7836346423801451,0.48205897980475154,0.12294283410142286,0.3957190264070726
Primary_plus_activity,0.7800307093519427,0.47517620480812317,0.12380558327815556,0.3982241376214421
