cohort,survey_weight,roc_auc,pr_auc,brier,log_loss,accuracy,precision,sensitivity,specificity,f1
2017-2018 development OOF,WTMEC2YR,0.7808817680907246,0.4189198000110646,0.09838791159190773,0.33157618125300325,0.7122984691131335,0.2879982467574353,0.7386713533051996,0.7080827180478542,0.4144197016622699
2021-2023 temporal,WTPH2YR,0.7986524419493573,0.4549212912349211,0.09676492722300052,0.3255091635958734,0.7105428897306867,0.2932653514859039,0.7671479753104433,0.7014002822921626,0.42432118672217284
