threshold,model,treat_all,treat_none
0.03,0.14528803588936093,0.14528803588936093,0.0
0.034999999999999996,0.14085947648982394,0.14085947648982394,0.0
0.04,0.13642231027857826,0.13638478626320844,0.0
0.045,0.13197545905819513,0.13186324064154986,0.0
0.05,0.12799560139541938,0.12729409980282116,0.0
0.055,0.12467312413277833,0.12267660826738636,0.0
0.06,0.12190355018701331,0.11800999448157458,0.0
0.065,0.11956186718858358,0.11329347038789316,0.0
0.07,0.11795420036565338,0.10852623098137644,0.0
0.075,0.11565347768517796,0.10370745385154606,0.0
0.08,0.11233711314371632,0.0988362987094349,0.0
0.08499999999999999,0.1100405899119699,0.09391190689910395,0.0
0.09,0.10762976216866707,0.08893340089305507,0.0
0.095,0.10603017975703347,0.08389988377091724,0.0
0.1,0.10292587255843738,0.07881043868075567,0.0
0.105,0.10123887108978796,0.07366412828232415,0.0
0.11,0.0996523168086002,0.06845999417155067,0.0
0.115,0.09789417769745518,0.06319705628551424,0.0
0.12,0.09618155619596543,0.05787431228713649,0.0
0.125,0.09412309592424867,0.05249073692877726,0.0
0.13,0.09221073901089802,0.04704528139388517,0.0
0.135,0.09049491096266928,0.041536872615815124,0.0
0.14,0.08870048924334828,0.035964412572883825,0.0
0.14500000000000002,0.08709258135733183,0.03032677755869015,0.0
0.15,0.0862646211222241,0.024622817426682486,0.0
0.155,0.08475968998857494,0.01885135480790545,0.0
0.16,0.08341910251132154,0.013011184300809636,0.0
0.165,0.08223179002226094,0.007101071631952199,0.0
0.17,0.08004713378007708,0.0011197527863615608,0.0
0.175,0.07835560213081827,-0.004934066893721084,0.0
0.18,0.07612286497504744,-0.011061713643073012,0.0
0.185,0.07386162726967345,-0.017264546242110296,0.0
0.19,0.07300227701284376,-0.023543957021382567,0.0
0.195,0.07222846224067875,-0.029901372903503004,0.0
0.2,0.07092038904899137,-0.03633825648414987,0.0
0.20500000000000002,0.06946672285356967,-0.04285610715386154,0.0
0.21,0.06802201510232372,-0.04945646226243022,0.0
0.215,0.06666674314873622,-0.056140898327796035,0.0
0.22,0.06513707234168328,-0.06291103229143574,0.0
0.225,0.06367365436459979,-0.06976852282234824,0.0
0.23,0.06265672367977843,-0.07671507167184402,0.0
0.23500000000000001,0.06099315326514851,-0.08375242508146391,0.0
0.24,0.05961815561959654,-0.09088237524647352,0.0
0.245,0.05824045269767352,-0.09810676183750977,0.0
0.25,0.05679634966378482,-0.10542747358309318,0.0
0.255,0.05509230605574144,-0.11284644991586562,0.0
0.26,0.0539810343484695,-0.12036568268556747,0.0
0.265,0.05277867631202336,-0.12798721794193185,0.0
0.27,0.05234692669061624,-0.1357131577908492,0.0
0.275,0.05045090927158899,-0.14354566232733784,0.0
0.28,0.04962175792507204,-0.15148695164905546,0.0
0.28500000000000003,0.04845730638237842,-0.1595393079542936,0.0
0.29000000000000004,0.04826328286723221,-0.16770507772861964,0.0
0.29500000000000004,0.04705990557360965,-0.1759866740245673,0.0
0.30000000000000004,0.04569781803211197,-0.18438657883902854,0.0
0.30500000000000005,0.04359048784027531,-0.1929073455932661,0.0
0.31000000000000005,0.04347826086956521,-0.20155160172075354,0.0
0.31500000000000006,0.04326447758682345,-0.2103220513683503,0.0
0.31999999999999995,0.04244363451432448,-0.21922147821664684,0.0
0.32499999999999996,0.04181342726011315,-0.228252748425659,0.0
0.32999999999999996,0.04091573831132522,-0.23741881371241763,0.0
0.33499999999999996,0.03948722671231393,-0.24672271456739825,0.0
0.33999999999999997,0.0385719587808925,-0.25616758361715125,0.0
0.345,0.037327859295598044,-0.2657566491409463,0.0
0.35,0.03718687652405232,-0.27549323874972287,0.0
0.355,0.035572068449389004,-0.2853807832361548,0.0
0.36,0.03370407060518732,-0.29542282060518726,0.0
0.365,0.03330288865188682,-0.3056230002949919,0.0
0.37,0.03236356982754677,-0.31598508759892047,0.0
0.375,0.030763688760806922,-0.3265129682997118,0.0
0.38,0.02981198289485916,-0.33721065352793533,0.0
0.385,0.0286690799184649,-0.34808228485743076,0.0
0.39,0.02666591864695044,-0.35913213965134416,0.0
0.395,0.02651564770047872,-0.37036463667325603,0.0
0.4,0.026176753121998075,-0.38178434197886657,0.0
