strategy,roc_auc,pr_auc,brier,log_loss
none,0.7662414562822987,0.4481537656212177,0.12932138895933917,0.4206103247922207
smote,0.7585571459412112,0.42817312044896955,0.1389266280870983,0.4381728986012829
smoteenn,0.7698456475458858,0.45781184199697894,0.20132248432646663,0.6988718604372495
class_weight,0.7635111335603739,0.44357129321034916,0.15625980963303593,0.4831159799989781
