model,mean_roc_auc,sd_roc_auc,se_roc_auc,mean_pr_auc,sd_pr_auc,mean_brier,sd_brier,mean_log_loss,sd_log_loss
Random Forest,0.7878571013336731,0.014980165097080158,0.006699333494248194,0.48380604003651156,0.02060093701746571,0.129720928562637,0.015284877268979168,0.4114813851470158,0.04039823503310338
XGBoost,0.7870783580223495,0.019987180469253435,0.008938538841561365,0.49084417006574166,0.026874209586846196,0.1319596626097747,0.022255915793097807,0.417292493982062,0.05810366828112654
HistGradientBoosting,0.7818537933108032,0.019906932379326538,0.008902650804733153,0.4774678220530797,0.023680163184234885,0.12371962333799649,0.0022775795866497727,0.39725640672223955,0.008024680741272144
LightGBM,0.7816603002793986,0.02012980646237257,0.009002323124755926,0.47794022618644816,0.027316984145327267,0.15719548257691277,0.0328154628653077,0.4822996934441905,0.0856015415026549
Logistic Regression,0.7808045337603562,0.016424949460389707,0.007345460704085974,0.4798835114559455,0.013953497897861766,0.13638571826134227,0.028313423540583076,0.43060629892460167,0.07131604836399484
