age_group,n,cases,global_threshold,global_sensitivity,global_specificity,stratified_threshold,stratified_sensitivity,stratified_specificity
18-39,1562,88,0.12389798647401944,0.22727272727272727,0.9579375848032564,0.056258267220422487,0.6590909090909091,0.4206241519674355
40-59,1557,183,0.12389798647401944,0.6065573770491803,0.7248908296943232,0.09482950186510727,0.6721311475409836,0.6266375545851528
60+,2433,678,0.12389798647401944,0.9616519174041298,0.21139601139601139,0.26936761405207577,0.7846607669616519,0.5982905982905983
